group,exp_name,model,arch,patch,lr,loss
C,GC_0176_T_deformable_attn_p256_lr4e-04_L1,T,deformable_attn,256,0.0004,L1
C,GC_0177_T_deformable_attn_p256_lr4e-04_L1Perc,T,deformable_attn,256,0.0004,L1+Perc
C,GC_0178_T_deformable_attn_p256_lr4e-04_L1SSIM,T,deformable_attn,256,0.0004,L1+SSIM
C,GC_0179_T_deformable_attn_p256_lr4e-04_L1PercSSIMFreq,T,deformable_attn,256,0.0004,L1+Perc+SSIM+Freq
C,GC_0180_S_deformable_attn_p128_lr1e-04_L1,S,deformable_attn,128,0.0001,L1
C,GC_0181_S_deformable_attn_p128_lr1e-04_L1Perc,S,deformable_attn,128,0.0001,L1+Perc
C,GC_0182_S_deformable_attn_p128_lr1e-04_L1SSIM,S,deformable_attn,128,0.0001,L1+SSIM
C,GC_0183_S_deformable_attn_p128_lr1e-04_L1PercSSIMFreq,S,deformable_attn,128,0.0001,L1+Perc+SSIM+Freq
C,GC_0184_S_deformable_attn_p128_lr2e-04_L1,S,deformable_attn,128,0.0002,L1
C,GC_0185_S_deformable_attn_p128_lr2e-04_L1Perc,S,deformable_attn,128,0.0002,L1+Perc
C,GC_0186_S_deformable_attn_p128_lr2e-04_L1SSIM,S,deformable_attn,128,0.0002,L1+SSIM
C,GC_0187_S_deformable_attn_p128_lr2e-04_L1PercSSIMFreq,S,deformable_attn,128,0.0002,L1+Perc+SSIM+Freq
C,GC_0188_S_deformable_attn_p128_lr4e-04_L1,S,deformable_attn,128,0.0004,L1
C,GC_0189_S_deformable_attn_p128_lr4e-04_L1Perc,S,deformable_attn,128,0.0004,L1+Perc
C,GC_0190_S_deformable_attn_p128_lr4e-04_L1SSIM,S,deformable_attn,128,0.0004,L1+SSIM
C,GC_0191_S_deformable_attn_p128_lr4e-04_L1PercSSIMFreq,S,deformable_attn,128,0.0004,L1+Perc+SSIM+Freq
C,GC_0192_S_deformable_attn_p256_lr1e-04_L1,S,deformable_attn,256,0.0001,L1
C,GC_0193_S_deformable_attn_p256_lr1e-04_L1Perc,S,deformable_attn,256,0.0001,L1+Perc
C,GC_0194_S_deformable_attn_p256_lr1e-04_L1SSIM,S,deformable_attn,256,0.0001,L1+SSIM
C,GC_0195_S_deformable_attn_p256_lr1e-04_L1PercSSIMFreq,S,deformable_attn,256,0.0001,L1+Perc+SSIM+Freq
C,GC_0196_S_deformable_attn_p256_lr2e-04_L1,S,deformable_attn,256,0.0002,L1
C,GC_0197_S_deformable_attn_p256_lr2e-04_L1Perc,S,deformable_attn,256,0.0002,L1+Perc
